pipeline,metafeature,openml_tid,ndcg,ndcg_score
adaboost,metabu,146817,20,0.75
adaboost,metabu,146819,20,0.7
adaboost,metabu,146820,20,0.7
adaboost,metabu,146821,20,0.6
adaboost,metabu,146824,20,0.8
adaboost,metabu,167125,20,0.7
adaboost,metabu,3,25,0.6
adaboost,metabu,6,25,0.8
adaboost,metabu,11,25,0.68
adaboost,metabu,12,25,0.72
adaboost,metabu,14,25,0.6
adaboost,metabu,15,25,0.76
adaboost,metabu,16,25,0.84
adaboost,metabu,18,25,0.68
adaboost,metabu,22,25,0.72
adaboost,metabu,23,25,0.84
adaboost,metabu,28,25,0.76
adaboost,metabu,29,25,0.76
adaboost,metabu,31,25,0.72
adaboost,metabu,32,25,0.76
adaboost,metabu,37,25,0.68
adaboost,metabu,43,25,0.68
adaboost,metabu,45,25,0.84
adaboost,metabu,49,25,0.76
adaboost,metabu,53,25,0.64
adaboost,metabu,219,25,0.72
adaboost,metabu,2074,25,0.8
adaboost,metabu,2079,25,0.72
adaboost,metabu,3021,25,0.76
adaboost,metabu,3022,25,0.72
adaboost,metabu,3481,25,0.76
adaboost,metabu,3549,25,0.84
adaboost,metabu,3560,25,0.8
adaboost,metabu,3573,25,0.84
adaboost,metabu,3902,25,0.68
adaboost,metabu,3903,25,0.68
adaboost,metabu,3904,25,0.64
adaboost,metabu,3913,25,0.92
adaboost,metabu,3917,25,0.68
adaboost,metabu,3918,25,0.68
adaboost,metabu,7592,25,0.8
adaboost,metabu,9910,25,0.68
adaboost,metabu,9946,25,0.84
adaboost,metabu,9952,25,0.48
adaboost,metabu,9957,25,0.76
adaboost,metabu,9960,25,0.68
adaboost,metabu,9964,25,0.8
adaboost,metabu,9971,25,0.68
adaboost,metabu,9976,25,0.64
adaboost,metabu,9977,25,0.6
adaboost,metabu,9978,25,0.8
adaboost,metabu,9981,25,0.72
adaboost,metabu,9985,25,0.6
adaboost,metabu,10093,25,0.84
adaboost,metabu,10101,25,0.76
adaboost,metabu,14952,25,0.6
adaboost,metabu,14954,25,0.6
adaboost,metabu,14965,25,0.72
adaboost,metabu,14969,25,0.8
adaboost,metabu,14970,25,0.72
adaboost,metabu,125920,25,0.84
adaboost,metabu,125922,25,0.72
adaboost,metabu,146195,25,0.64
adaboost,metabu,146800,25,0.72
adaboost,metabu,146817,25,0.76
adaboost,metabu,146819,25,0.72
adaboost,metabu,146820,25,0.64
adaboost,metabu,146821,25,0.76
adaboost,metabu,146824,25,0.8
adaboost,metabu,167125,25,0.72
random_forest,metabu,3,10,0.5
random_forest,metabu,6,10,0.7
random_forest,metabu,11,10,0.4
random_forest,metabu,12,10,0.5
random_forest,metabu,14,10,0.4
random_forest,metabu,15,10,0.7
random_forest,metabu,16,10,0.5
random_forest,metabu,18,10,0.8
random_forest,metabu,22,10,0.1
random_forest,metabu,23,10,0.7
random_forest,metabu,28,10,0.7
random_forest,metabu,29,10,0.4
random_forest,metabu,31,10,0.6
random_forest,metabu,32,10,0.6
random_forest,metabu,37,10,0.5
random_forest,metabu,43,10,0.6
random_forest,metabu,45,10,0.6
random_forest,metabu,49,10,0.3
random_forest,metabu,53,10,0.6
random_forest,metabu,219,10,0.6
random_forest,metabu,2074,10,0.7
random_forest,metabu,2079,10,0.7
random_forest,metabu,3021,10,0.6
random_forest,metabu,3022,10,0.7
random_forest,metabu,3481,10,0.4
random_forest,metabu,3549,10,0.6
random_forest,metabu,3560,10,0.6
random_forest,metabu,3573,10,0.6
random_forest,metabu,3902,10,0.4
random_forest,metabu,3903,10,0.6
random_forest,metabu,3904,10,0.7
random_forest,metabu,3913,10,0.6
random_forest,metabu,3917,10,0.5
random_forest,metabu,3918,10,0.5
random_forest,metabu,7592,10,0.7
random_forest,metabu,9910,10,0.6
random_forest,metabu,9946,10,0.5
random_forest,metabu,9952,10,0.4
random_forest,metabu,9957,10,0.5
random_forest,metabu,9960,10,0.7
random_forest,metabu,9964,10,0.5
random_forest,metabu,9971,10,0.5
random_forest,metabu,9976,10,0.6
random_forest,metabu,9977,10,0.9
random_forest,metabu,9978,10,0.6
random_forest,metabu,9981,10,0.5
random_forest,metabu,9985,10,0.6
random_forest,metabu,10093,10,0.5
random_forest,metabu,10101,10,0.6
random_forest,metabu,14952,10,0.5
random_forest,metabu,14954,10,0.6
random_forest,metabu,14965,10,0.7
random_forest,metabu,14969,10,0.7
random_forest,metabu,14970,10,0.5
random_forest,metabu,125920,10,0.9
random_forest,metabu,125922,10,0.5
random_forest,metabu,146195,10,0.5
random_forest,metabu,146800,10,0.4
random_forest,metabu,146817,10,0.8
random_forest,metabu,146819,10,0.6
random_forest,metabu,146820,10,0.6
random_forest,metabu,146821,10,0.5
random_forest,metabu,146824,10,0.5
random_forest,metabu,167125,10,0.7
random_forest,metabu,3,15,0.4
random_forest,metabu,6,15,0.7333333333333332
random_forest,metabu,11,15,0.4666666666666667
random_forest,metabu,12,15,0.4666666666666667
random_forest,metabu,14,15,0.6
random_forest,metabu,15,15,0.8
random_forest,metabu,16,15,0.7333333333333332
random_forest,metabu,18,15,0.7333333333333332
random_forest,metabu,22,15,0.5333333333333333
random_forest,metabu,23,15,0.8
random_forest,metabu,28,15,0.7333333333333332
random_forest,metabu,29,15,0.4
random_forest,metabu,31,15,0.5333333333333333
random_forest,metabu,32,15,0.6666666666666666
random_forest,metabu,37,15,0.4666666666666667
random_forest,metabu,43,15,0.6
random_forest,metabu,45,15,0.7333333333333332
random_forest,metabu,49,15,0.4
random_forest,metabu,53,15,0.6
random_forest,metabu,219,15,0.6666666666666666
random_forest,metabu,2074,15,0.6
random_forest,metabu,2079,15,0.6666666666666666
random_forest,metabu,3021,15,0.7333333333333332
random_forest,metabu,3022,15,0.5333333333333333
random_forest,metabu,3481,15,0.5333333333333333
random_forest,metabu,3549,15,0.8666666666666668
random_forest,metabu,3560,15,0.5333333333333333
random_forest,metabu,3573,15,0.5333333333333333
random_forest,metabu,3902,15,0.4666666666666667
random_forest,metabu,3903,15,0.6
random_forest,metabu,3904,15,0.6
random_forest,metabu,3913,15,0.7333333333333332
random_forest,metabu,3917,15,0.6666666666666666
random_forest,metabu,3918,15,0.7333333333333332
random_forest,metabu,7592,15,0.6666666666666666
random_forest,metabu,9910,15,0.7333333333333332
random_forest,metabu,9946,15,0.6
random_forest,metabu,9952,15,0.5333333333333333
random_forest,metabu,9957,15,0.6666666666666666
random_forest,metabu,9960,15,0.6666666666666666
random_forest,metabu,9964,15,0.7333333333333332
random_forest,metabu,9971,15,0.9333333333333333
random_forest,metabu,9976,15,0.6666666666666666
random_forest,metabu,9977,15,0.6666666666666666
random_forest,metabu,9978,15,0.4666666666666667
random_forest,metabu,9981,15,0.5333333333333333
random_forest,metabu,9985,15,0.7333333333333332
random_forest,metabu,10093,15,0.6
random_forest,metabu,10101,15,0.6
random_forest,metabu,14952,15,0.6666666666666666
random_forest,metabu,14954,15,0.8
random_forest,metabu,14965,15,0.8666666666666668
random_forest,metabu,14969,15,0.6666666666666666
random_forest,metabu,14970,15,0.5333333333333333
random_forest,metabu,125920,15,0.8
random_forest,metabu,125922,15,0.6666666666666666
random_forest,metabu,146195,15,0.5333333333333333
random_forest,metabu,146800,15,0.5333333333333333
random_forest,metabu,146817,15,0.6
random_forest,metabu,146819,15,0.5333333333333333
random_forest,metabu,146820,15,0.7333333333333332
random_forest,metabu,146821,15,0.7333333333333332
random_forest,metabu,146824,15,0.6
random_forest,metabu,167125,15,0.6
random_forest,metabu,3,20,0.55
random_forest,metabu,6,20,0.75
random_forest,metabu,11,20,0.75
random_forest,metabu,12,20,0.65
random_forest,metabu,14,20,0.6
random_forest,metabu,15,20,0.85
random_forest,metabu,16,20,0.85
random_forest,metabu,18,20,0.8
random_forest,metabu,22,20,0.75
random_forest,metabu,23,20,0.7
random_forest,metabu,28,20,0.85
random_forest,metabu,29,20,0.45
random_forest,metabu,31,20,0.55
random_forest,metabu,32,20,0.75
random_forest,metabu,37,20,0.6
random_forest,metabu,43,20,0.75
random_forest,metabu,45,20,0.85
random_forest,metabu,49,20,0.55
random_forest,metabu,53,20,0.7
random_forest,metabu,219,20,0.75
random_forest,metabu,2074,20,0.65
random_forest,metabu,2079,20,0.7
random_forest,metabu,3021,20,0.75
random_forest,metabu,3022,20,0.75
random_forest,metabu,3481,20,0.85
random_forest,metabu,3549,20,0.8
random_forest,metabu,3560,20,0.75
random_forest,metabu,3573,20,0.75
random_forest,metabu,3902,20,0.5
random_forest,metabu,3903,20,0.55
random_forest,metabu,3904,20,0.8
random_forest,metabu,3913,20,0.85
random_forest,metabu,3917,20,0.65
random_forest,metabu,3918,20,0.75
random_forest,metabu,7592,20,0.7
random_forest,metabu,9910,20,0.8
random_forest,metabu,9946,20,0.65
random_forest,metabu,9952,20,0.55
random_forest,metabu,9957,20,0.75
random_forest,metabu,9960,20,0.8
random_forest,metabu,9964,20,0.85
random_forest,metabu,9971,20,0.85
random_forest,metabu,9976,20,0.7
random_forest,metabu,9977,20,0.75
random_forest,metabu,9978,20,0.6
random_forest,metabu,9981,20,0.5
random_forest,metabu,9985,20,0.75
random_forest,metabu,10093,20,0.7
random_forest,metabu,10101,20,0.65
random_forest,metabu,14952,20,0.65
random_forest,metabu,14954,20,0.7
random_forest,metabu,14965,20,0.85
random_forest,metabu,14969,20,0.7
random_forest,metabu,14970,20,0.65
random_forest,metabu,125920,20,0.8
random_forest,metabu,125922,20,0.7
random_forest,metabu,146195,20,0.6
random_forest,metabu,146800,20,0.6
random_forest,metabu,146817,20,0.7
random_forest,metabu,146819,20,0.75
random_forest,metabu,146820,20,0.9
random_forest,metabu,146821,20,0.8
random_forest,metabu,146824,20,0.75
random_forest,metabu,167125,20,0.7
random_forest,metabu,3,25,0.72
random_forest,metabu,6,25,0.8
random_forest,metabu,11,25,0.8
random_forest,metabu,12,25,0.72
random_forest,metabu,14,25,0.72
random_forest,metabu,15,25,0.88
random_forest,metabu,16,25,0.92
random_forest,metabu,18,25,0.76
random_forest,metabu,22,25,0.8
random_forest,metabu,23,25,0.72
random_forest,metabu,28,25,0.84
random_forest,metabu,29,25,0.64
random_forest,metabu,31,25,0.48
random_forest,metabu,32,25,0.8
random_forest,metabu,37,25,0.76
random_forest,metabu,43,25,0.88
random_forest,metabu,45,25,0.88
random_forest,metabu,49,25,0.64
random_forest,metabu,53,25,0.8
random_forest,metabu,219,25,0.8
random_forest,metabu,2074,25,0.68
random_forest,metabu,2079,25,0.8
random_forest,metabu,3021,25,0.84
random_forest,metabu,3022,25,0.8
random_forest,metabu,3481,25,0.92
random_forest,metabu,3549,25,0.88
random_forest,metabu,3560,25,0.8
random_forest,metabu,3573,25,0.88
random_forest,metabu,3902,25,0.64
random_forest,metabu,3903,25,0.68
random_forest,metabu,3904,25,0.8
random_forest,metabu,3913,25,0.84
random_forest,metabu,3917,25,0.72
random_forest,metabu,3918,25,0.84
random_forest,metabu,7592,25,0.76
random_forest,metabu,9910,25,0.88
random_forest,metabu,9946,25,0.8
random_forest,metabu,9952,25,0.68
random_forest,metabu,9957,25,0.72
random_forest,metabu,9960,25,0.84
random_forest,metabu,9964,25,0.96
random_forest,metabu,9971,25,0.84
random_forest,metabu,9976,25,0.76
random_forest,metabu,9977,25,0.88
random_forest,metabu,9978,25,0.68
random_forest,metabu,9981,25,0.68
random_forest,metabu,9985,25,0.76
random_forest,metabu,10093,25,0.76
random_forest,metabu,10101,25,0.64
random_forest,metabu,14952,25,0.64
random_forest,metabu,14954,25,0.84
random_forest,metabu,14965,25,0.88
random_forest,metabu,14969,25,0.84
random_forest,metabu,14970,25,0.72
random_forest,metabu,125920,25,0.8
random_forest,metabu,125922,25,0.72
random_forest,metabu,146195,25,0.64
random_forest,metabu,146800,25,0.68
random_forest,metabu,146817,25,0.8
random_forest,metabu,146819,25,0.8
random_forest,metabu,146820,25,0.88
random_forest,metabu,146821,25,0.84
random_forest,metabu,146824,25,0.84
random_forest,metabu,167125,25,0.8
libsvm_svc,metabu,3,10,0.7
libsvm_svc,metabu,6,10,0.8
libsvm_svc,metabu,11,10,0.4
libsvm_svc,metabu,12,10,0.3
libsvm_svc,metabu,14,10,0.5
libsvm_svc,metabu,15,10,0.7
libsvm_svc,metabu,16,10,0.2
libsvm_svc,metabu,18,10,0.5
libsvm_svc,metabu,22,10,0.7
libsvm_svc,metabu,23,10,0.7
libsvm_svc,metabu,28,10,0.9
libsvm_svc,metabu,29,10,0.7
libsvm_svc,metabu,31,10,0.7
libsvm_svc,metabu,32,10,0.5
libsvm_svc,metabu,37,10,0.3
libsvm_svc,metabu,43,10,0.4
libsvm_svc,metabu,45,10,0.6
libsvm_svc,metabu,49,10,0.4
libsvm_svc,metabu,53,10,0.4
libsvm_svc,metabu,219,10,0.8
libsvm_svc,metabu,2074,10,0.8
libsvm_svc,metabu,2079,10,0.4
libsvm_svc,metabu,3021,10,0.7
libsvm_svc,metabu,3022,10,0.5
libsvm_svc,metabu,3481,10,0.3
libsvm_svc,metabu,3549,10,0.5
libsvm_svc,metabu,3560,10,0.5
libsvm_svc,metabu,3573,10,0.7
libsvm_svc,metabu,3902,10,0.5
libsvm_svc,metabu,3903,10,0.8
libsvm_svc,metabu,3904,10,0.6
libsvm_svc,metabu,3913,10,0.7
libsvm_svc,metabu,3917,10,0.5
libsvm_svc,metabu,3918,10,0.3
libsvm_svc,metabu,7592,10,0.2
libsvm_svc,metabu,9910,10,0.8
libsvm_svc,metabu,9946,10,0.4
libsvm_svc,metabu,9952,10,0.7
libsvm_svc,metabu,9957,10,0.2
libsvm_svc,metabu,9960,10,0.5
libsvm_svc,metabu,9964,10,0.5
libsvm_svc,metabu,9971,10,0.3
libsvm_svc,metabu,9976,10,0.5
libsvm_svc,metabu,9977,10,0.3
libsvm_svc,metabu,9978,10,0.5
libsvm_svc,metabu,9981,10,0.8
libsvm_svc,metabu,9985,10,0.7
libsvm_svc,metabu,10093,10,0.4
libsvm_svc,metabu,10101,10,0.4
libsvm_svc,metabu,14952,10,0.6
libsvm_svc,metabu,14954,10,0.4
libsvm_svc,metabu,14965,10,0.5
libsvm_svc,metabu,14969,10,0.8
libsvm_svc,metabu,14970,10,0.4
libsvm_svc,metabu,125920,10,0.7
libsvm_svc,metabu,125922,10,0.7
libsvm_svc,metabu,146195,10,0.6
libsvm_svc,metabu,146800,10,0.6
libsvm_svc,metabu,146817,10,0.6
libsvm_svc,metabu,146819,10,0.3
libsvm_svc,metabu,146820,10,0.4
libsvm_svc,metabu,146821,10,0.4
libsvm_svc,metabu,146824,10,0.5
libsvm_svc,metabu,167125,10,0.6
libsvm_svc,metabu,3,15,0.6
libsvm_svc,metabu,6,15,0.7333333333333332
libsvm_svc,metabu,11,15,0.5333333333333333
libsvm_svc,metabu,12,15,0.5333333333333333
libsvm_svc,metabu,14,15,0.4666666666666667
libsvm_svc,metabu,15,15,0.6666666666666666
libsvm_svc,metabu,16,15,0.5333333333333333
libsvm_svc,metabu,18,15,0.6
libsvm_svc,metabu,22,15,0.6
libsvm_svc,metabu,23,15,0.6
libsvm_svc,metabu,28,15,0.8
libsvm_svc,metabu,29,15,0.7333333333333332
libsvm_svc,metabu,31,15,0.8
libsvm_svc,metabu,32,15,0.5333333333333333
libsvm_svc,metabu,37,15,0.5333333333333333
libsvm_svc,metabu,43,15,0.6666666666666666
libsvm_svc,metabu,45,15,0.5333333333333333
libsvm_svc,metabu,49,15,0.5333333333333333
libsvm_svc,metabu,53,15,0.4666666666666667
libsvm_svc,metabu,219,15,0.7333333333333332
libsvm_svc,metabu,2074,15,0.7333333333333332
libsvm_svc,metabu,2079,15,0.6
libsvm_svc,metabu,3021,15,0.6666666666666666
libsvm_svc,metabu,3022,15,0.6
libsvm_svc,metabu,3481,15,0.4666666666666667
libsvm_svc,metabu,3549,15,0.5333333333333333
libsvm_svc,metabu,3560,15,0.4666666666666667
libsvm_svc,metabu,3573,15,0.6
libsvm_svc,metabu,3902,15,0.6666666666666666
libsvm_svc,metabu,3903,15,0.7333333333333332
libsvm_svc,metabu,3904,15,0.5333333333333333
libsvm_svc,metabu,3913,15,0.6
libsvm_svc,metabu,3917,15,0.6
libsvm_svc,metabu,3918,15,0.5333333333333333
libsvm_svc,metabu,7592,15,0.4666666666666667
libsvm_svc,metabu,9910,15,0.7333333333333332
libsvm_svc,metabu,9946,15,0.5333333333333333
libsvm_svc,metabu,9952,15,0.8
libsvm_svc,metabu,9957,15,0.4
libsvm_svc,metabu,9960,15,0.6666666666666666
libsvm_svc,metabu,9964,15,0.5333333333333333
libsvm_svc,metabu,9971,15,0.3333333333333333
libsvm_svc,metabu,9976,15,0.6
libsvm_svc,metabu,9977,15,0.4
libsvm_svc,metabu,9978,15,0.6
libsvm_svc,metabu,9981,15,0.7333333333333332
libsvm_svc,metabu,9985,15,0.7333333333333332
libsvm_svc,metabu,10093,15,0.6666666666666666
libsvm_svc,metabu,10101,15,0.5333333333333333
libsvm_svc,metabu,14952,15,0.6666666666666666
libsvm_svc,metabu,14954,15,0.4
libsvm_svc,metabu,14965,15,0.6
libsvm_svc,metabu,14969,15,0.7333333333333332
libsvm_svc,metabu,14970,15,0.5333333333333333
libsvm_svc,metabu,125920,15,0.6666666666666666
libsvm_svc,metabu,125922,15,0.6666666666666666
libsvm_svc,metabu,146195,15,0.6
libsvm_svc,metabu,146800,15,0.6
libsvm_svc,metabu,146817,15,0.6
libsvm_svc,metabu,146819,15,0.4666666666666667
libsvm_svc,metabu,146820,15,0.4666666666666667
libsvm_svc,metabu,146821,15,0.6
libsvm_svc,metabu,146824,15,0.7333333333333332
libsvm_svc,metabu,167125,15,0.6666666666666666
libsvm_svc,metabu,3,20,0.6
libsvm_svc,metabu,6,20,0.75
libsvm_svc,metabu,11,20,0.55
libsvm_svc,metabu,12,20,0.7
libsvm_svc,metabu,14,20,0.6
libsvm_svc,metabu,15,20,0.75
libsvm_svc,metabu,16,20,0.65
libsvm_svc,metabu,18,20,0.6
libsvm_svc,metabu,22,20,0.7
libsvm_svc,metabu,23,20,0.7
libsvm_svc,metabu,28,20,0.7
libsvm_svc,metabu,29,20,0.7
libsvm_svc,metabu,31,20,0.8
libsvm_svc,metabu,32,20,0.65
libsvm_svc,metabu,37,20,0.7
libsvm_svc,metabu,43,20,0.65
libsvm_svc,metabu,45,20,0.6
libsvm_svc,metabu,49,20,0.55
libsvm_svc,metabu,53,20,0.6
libsvm_svc,metabu,219,20,0.85
libsvm_svc,metabu,2074,20,0.75
libsvm_svc,metabu,2079,20,0.7
libsvm_svc,metabu,3021,20,0.7
libsvm_svc,metabu,3022,20,0.75
libsvm_svc,metabu,3481,20,0.6
libsvm_svc,metabu,3549,20,0.8
libsvm_svc,metabu,3560,20,0.55
libsvm_svc,metabu,3573,20,0.65
libsvm_svc,metabu,3902,20,0.7
libsvm_svc,metabu,3903,20,0.8
libsvm_svc,metabu,3904,20,0.7
libsvm_svc,metabu,3913,20,0.65
libsvm_svc,metabu,3917,20,0.75
libsvm_svc,metabu,3918,20,0.7
libsvm_svc,metabu,7592,20,0.65
libsvm_svc,metabu,9910,20,0.7
libsvm_svc,metabu,9946,20,0.75
libsvm_svc,metabu,9952,20,0.75
libsvm_svc,metabu,9957,20,0.55
libsvm_svc,metabu,9960,20,0.65
libsvm_svc,metabu,9964,20,0.65
libsvm_svc,metabu,9971,20,0.5
libsvm_svc,metabu,9976,20,0.55
libsvm_svc,metabu,9977,20,0.55
libsvm_svc,metabu,9978,20,0.75
libsvm_svc,metabu,9981,20,0.7
libsvm_svc,metabu,9985,20,0.8
libsvm_svc,metabu,10093,20,0.6
libsvm_svc,metabu,10101,20,0.6
libsvm_svc,metabu,14952,20,0.7
libsvm_svc,metabu,14954,20,0.6
libsvm_svc,metabu,14965,20,0.65
libsvm_svc,metabu,14969,20,0.7
libsvm_svc,metabu,14970,20,0.6
libsvm_svc,metabu,125920,20,0.7
libsvm_svc,metabu,125922,20,0.8
libsvm_svc,metabu,146195,20,0.75
libsvm_svc,metabu,146800,20,0.65
libsvm_svc,metabu,146817,20,0.75
libsvm_svc,metabu,146819,20,0.55
libsvm_svc,metabu,146820,20,0.65
libsvm_svc,metabu,146821,20,0.55
libsvm_svc,metabu,146824,20,0.8
libsvm_svc,metabu,167125,20,0.7
libsvm_svc,metabu,3,25,0.64
libsvm_svc,metabu,6,25,0.8
libsvm_svc,metabu,11,25,0.6
libsvm_svc,metabu,12,25,0.76
libsvm_svc,metabu,14,25,0.72
libsvm_svc,metabu,15,25,0.72
libsvm_svc,metabu,16,25,0.72
libsvm_svc,metabu,18,25,0.68
libsvm_svc,metabu,22,25,0.68
libsvm_svc,metabu,23,25,0.76
libsvm_svc,metabu,28,25,0.8
libsvm_svc,metabu,29,25,0.72
libsvm_svc,metabu,31,25,0.72
